"","enzyme_gene","class"
"1517","DPOE1","DNA-directed DNA polymerase"
"1518","DPOE2","DNA-directed DNA polymerase"
"1519","DPOE3","DNA-directed DNA polymerase"
"1520","DPOE4","DNA-directed DNA polymerase"
"1521","DPOG1","DNA-directed DNA polymerase"
"1522","DPOG2","DNA-directed DNA polymerase"
"1523","DPOLA","DNA-directed DNA polymerase"
"1524","DPOLB","DNA-directed DNA polymerase"
"1525","DPOLL","DNA-directed DNA polymerase"
"1526","DPOLM","DNA-directed DNA polymerase"
"1527","DPOLN","DNA-directed DNA polymerase"
"1528","DPOLQ","DNA-directed DNA polymerase"
"1529","POK9","DNA-directed DNA polymerase"
"1530","POLH","DNA-directed DNA polymerase"
"1531","POLI","DNA-directed DNA polymerase"
"1532","POLK","DNA-directed DNA polymerase"
"1533","REV3L","DNA-directed DNA polymerase"
"1534","PNPT1","Polyribonucleotide nucleotidyltransferase"
"1535","UGPA","UTP--glucose-1-phosphate uridylyltransferase"
"1536","GALT","UDP-glucose--hexose-1-phosphate uridylyltransferase"
"1537","GMPPB","Mannose-1-phosphate guanylyltransferase"
"1538","PCY2","Ethanolamine-phosphate cytidylyltransferase"
"1539","PCY1A","Choline-phosphate cytidylyltransferase"
"1540","PCY1B","Choline-phosphate cytidylyltransferase"
"1541","NMNA1","Nicotinate-nucleotide adenylyltransferase"
"1542","NMNA2","Nicotinate-nucleotide adenylyltransferase"
"1543","NMNA3","Nicotinate-nucleotide adenylyltransferase"
"1544","GLD2","Polynucleotide adenylyltransferase"
"1545","PAPD1","Polynucleotide adenylyltransferase"
"1546","PAPD5","Polynucleotide adenylyltransferase"
"1547","PAPD7","Polynucleotide adenylyltransferase"
"1548","PAPOA","Polynucleotide adenylyltransferase"
"1549","PAPOB","Polynucleotide adenylyltransferase"
"1550","PAPOG","Polynucleotide adenylyltransferase"
"1551","STPAP","Polynucleotide adenylyltransferase"
"1552","TET5C","Polynucleotide adenylyltransferase"
"1553","TET5D","Polynucleotide adenylyltransferase"
"1554","UAP1","UDP-N-acetylglucosamine diphosphorylase"
"1555","FPGT","Fucose-1-phosphate guanylyltransferase"
"1556","TDT","DNA nucleotidylexotransferase"
"1557","ISPD","D-ribitol-5-phosphate cytidylyltransferase"
"1558","CDS1","Phosphatidate cytidylyltransferase"
"1559","CDS2","Phosphatidate cytidylyltransferase"
"1560","TAM41","Phosphatidate cytidylyltransferase"
"1561","NEUA","N-acylneuraminate cytidylyltransferase"
"1562","RPB1","RNA-directed RNA polymerase"
"1563","LORF2","RNA-directed DNA polymerase"
"1564","PO113","RNA-directed DNA polymerase"
"1565","POK10","RNA-directed DNA polymerase"
"1566","POK11","RNA-directed DNA polymerase"
"1567","POK18","RNA-directed DNA polymerase"
"1568","POK19","RNA-directed DNA polymerase"
"1569","POK25","RNA-directed DNA polymerase"
"1570","POK6","RNA-directed DNA polymerase"
"1571","POK7","RNA-directed DNA polymerase"
"1572","POK8","RNA-directed DNA polymerase"
"1573","POK9","RNA-directed DNA polymerase"
"1574","TERT","RNA-directed DNA polymerase"
"1575","MCE1","mRNA guanylyltransferase"
"1576","STPAP","RNA uridylyltransferase"
"1577","TUT4","RNA uridylyltransferase"
"1578","TUT7","RNA uridylyltransferase"
"1579","TRNT1","CCA tRNA nucleotidyltransferase"
"1580","GEPH","Molybdopterin adenylyltransferase"
"1581","GDPP1","GDP-D-glucose phosphorylase"
"1582","THG1","tRNA(His) guanylyltransferase"
"1583","MOCS3","Molybdopterin-synthase adenylyltransferase"
"1584","UAP1","UDP-N-acetylgalactosamine diphosphorylase"
"1585","OAS1","2'-5' oligoadenylate synthase"
"1586","OAS2","2'-5' oligoadenylate synthase"
"1587","OAS3","2'-5' oligoadenylate synthase"
"1588","CGAS","Cyclic GMP-AMP synthase"
"1589","NUDT5","ADP-D-ribose pyrophosphorylase"
"1590","FICD","Adenosine monophosphate-protein transferase"
"1591","CEPT1","Ethanolaminephosphotransferase"
"1592","EPT1","Ethanolaminephosphotransferase"
"1593","CEPT1","Diacylglycerol cholinephosphotransferase"
"1594","CHPT1","Diacylglycerol cholinephosphotransferase"
"1595","PGPS1","CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase"
"1596","CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase"
"1597","GPT","N-acetylglucosaminephosphotransferase"
"1598","GNPTA","N-acetylglucosaminephosphotransferase"
"1599","SMS1","Sphingomyelin synthase"
"1600","SMS2","Sphingomyelin synthase"
"1601","PTSS1","L-serine-phosphatidylethanolamine phosphatidyltransferase"
"1602","PTSS2","L-serine-phosphatidylethanolamine phosphatidyltransferase"
"1603","CRLS1","Cardiolipin synthase (CMP-forming)"
"1604","SPS1","Selenide, water dikinase"
"1605","SPS2","Selenide, water dikinase"
"1606","ALK","Receptor protein-tyrosine kinase"
"1607","CSF1R","Receptor protein-tyrosine kinase"
"1608","DDR1","Receptor protein-tyrosine kinase"
"1609","DDR2","Receptor protein-tyrosine kinase"
"1610","EGFR","Receptor protein-tyrosine kinase"
"1611","EPHA1","Receptor protein-tyrosine kinase"
"1612","EPHA2","Receptor protein-tyrosine kinase"
"1613","EPHA3","Receptor protein-tyrosine kinase"
"1614","EPHA4","Receptor protein-tyrosine kinase"
"1615","EPHA5","Receptor protein-tyrosine kinase"
"1616","EPHA6","Receptor protein-tyrosine kinase"
"1617","EPHA7","Receptor protein-tyrosine kinase"
"1618","EPHA8","Receptor protein-tyrosine kinase"
"1619","EPHAA","Receptor protein-tyrosine kinase"
"1620","EPHB1","Receptor protein-tyrosine kinase"
"1621","EPHB2","Receptor protein-tyrosine kinase"
"1622","EPHB3","Receptor protein-tyrosine kinase"
"1623","EPHB4","Receptor protein-tyrosine kinase"
"1624","ERBB2","Receptor protein-tyrosine kinase"
"1625","ERBB3","Receptor protein-tyrosine kinase"
"1626","ERBB4","Receptor protein-tyrosine kinase"
"1627","FGFR1","Receptor protein-tyrosine kinase"
"1628","FGFR2","Receptor protein-tyrosine kinase"
"1629","FGFR3","Receptor protein-tyrosine kinase"
"1630","FGFR4","Receptor protein-tyrosine kinase"
"1631","FLT3","Receptor protein-tyrosine kinase"
"1632","IGF1R","Receptor protein-tyrosine kinase"
"1633","INSRR","Receptor protein-tyrosine kinase"
"1634","INSR","Receptor protein-tyrosine kinase"
"1635","KIT","Receptor protein-tyrosine kinase"
"1636","LTK","Receptor protein-tyrosine kinase"
"1637","MERTK","Receptor protein-tyrosine kinase"
"1638","MET","Receptor protein-tyrosine kinase"
"1639","MUSK","Receptor protein-tyrosine kinase"
"1640","NTRK1","Receptor protein-tyrosine kinase"
"1641","NTRK2","Receptor protein-tyrosine kinase"
"1642","NTRK3","Receptor protein-tyrosine kinase"
"1643","PGFRA","Receptor protein-tyrosine kinase"
"1644","PGFRB","Receptor protein-tyrosine kinase"
"1645","RET","Receptor protein-tyrosine kinase"
"1646","RON","Receptor protein-tyrosine kinase"
"1647","ROR2","Receptor protein-tyrosine kinase"
"1648","ROS1","Receptor protein-tyrosine kinase"
"1649","RYK","Receptor protein-tyrosine kinase"
"1650","TIE1","Receptor protein-tyrosine kinase"
"1651","TIE2","Receptor protein-tyrosine kinase"
"1652","TYRO3","Receptor protein-tyrosine kinase"
"1653","UFO","Receptor protein-tyrosine kinase"
"1654","VGFR1","Receptor protein-tyrosine kinase"
"1655","VGFR2","Receptor protein-tyrosine kinase"
"1656","VGFR3","Receptor protein-tyrosine kinase"
"1657","ABL1","Non-specific protein-tyrosine kinase"
"1658","ABL2","Non-specific protein-tyrosine kinase"
"1659","ACK1","Non-specific protein-tyrosine kinase"
"1660","BAZ1B","Non-specific protein-tyrosine kinase"
"1661","BLK","Non-specific protein-tyrosine kinase"
"1662","BMX","Non-specific protein-tyrosine kinase"
"1663","BTK","Non-specific protein-tyrosine kinase"
"1664","CSK","Non-specific protein-tyrosine kinase"
"1665","E2AK2","Non-specific protein-tyrosine kinase"
"1666","FAK1","Non-specific protein-tyrosine kinase"
"1667","FAK2","Non-specific protein-tyrosine kinase"
"1668","FER","Non-specific protein-tyrosine kinase"
"1669","FES","Non-specific protein-tyrosine kinase"
"1670","FGR","Non-specific protein-tyrosine kinase"
"1671","FRK","Non-specific protein-tyrosine kinase"
"1672","FYN","Non-specific protein-tyrosine kinase"
"1673","HCK","Non-specific protein-tyrosine kinase"
"1674","ITK","Non-specific protein-tyrosine kinase"
"1675","JAK1","Non-specific protein-tyrosine kinase"
"1676","JAK2","Non-specific protein-tyrosine kinase"
"1677","JAK3","Non-specific protein-tyrosine kinase"
"1678","KPCD","Non-specific protein-tyrosine kinase"
"1679","KSYK","Non-specific protein-tyrosine kinase"
"1680","LCK","Non-specific protein-tyrosine kinase"
"1681","LYN","Non-specific protein-tyrosine kinase"
"1682","MATK","Non-specific protein-tyrosine kinase"
"1683","MELK","Non-specific protein-tyrosine kinase"
"1684","PKDCC","Non-specific protein-tyrosine kinase"
"1685","PTK6","Non-specific protein-tyrosine kinase"
"1686","RIPK2","Non-specific protein-tyrosine kinase"
"1687","SRC","Non-specific protein-tyrosine kinase"
"1688","SRMS","Non-specific protein-tyrosine kinase"
"1689","STK16","Non-specific protein-tyrosine kinase"
"1690","STYK1","Non-specific protein-tyrosine kinase"
"1691","TEC","Non-specific protein-tyrosine kinase"
"1692","TNK1","Non-specific protein-tyrosine kinase"
"1693","TXK","Non-specific protein-tyrosine kinase"
"1694","TYK2","Non-specific protein-tyrosine kinase"
"1695","WEE1","Non-specific protein-tyrosine kinase"
"1696","WEE2","Non-specific protein-tyrosine kinase"
"1697","YES","Non-specific protein-tyrosine kinase"
"1698","ZAP70","Non-specific protein-tyrosine kinase"
"1699","AAK1","Non-specific serine/threonine protein kinase"
"1700","AAPK1","Non-specific serine/threonine protein kinase"
"1701","AAPK2","Non-specific serine/threonine protein kinase"
"1702","ACK1","Non-specific serine/threonine protein kinase"
"1703","AKT1","Non-specific serine/threonine protein kinase"
"1704","AKT2","Non-specific serine/threonine protein kinase"
"1705","AKT3","Non-specific serine/threonine protein kinase"
"1706","ALPK1","Non-specific serine/threonine protein kinase"
"1707","ALPK3","Non-specific serine/threonine protein kinase"
"1708","ANKK1","Non-specific serine/threonine protein kinase"
"1709","ARAF","Non-specific serine/threonine protein kinase"
"1710","ATM","Non-specific serine/threonine protein kinase"
"1711","ATR","Non-specific serine/threonine protein kinase"
"1712","AURKA","Non-specific serine/threonine protein kinase"
"1713","AURKB","Non-specific serine/threonine protein kinase"
"1714","AURKC","Non-specific serine/threonine protein kinase"
"1715","BCR","Non-specific serine/threonine protein kinase"
"1716","BMP2K","Non-specific serine/threonine protein kinase"
"1717","BRAF","Non-specific serine/threonine protein kinase"
"1718","BRSK1","Non-specific serine/threonine protein kinase"
"1719","BRSK2","Non-specific serine/threonine protein kinase"
"1720","BUB1B","Non-specific serine/threonine protein kinase"
"1721","BUB1","Non-specific serine/threonine protein kinase"
"1722","C2TA","Non-specific serine/threonine protein kinase"
"1723","CDC7","Non-specific serine/threonine protein kinase"
"1724","CDK5","Non-specific serine/threonine protein kinase"
"1725","CHK1","Non-specific serine/threonine protein kinase"
"1726","CHK2","Non-specific serine/threonine protein kinase"
"1727","CSK21","Non-specific serine/threonine protein kinase"
"1728","CSK22","Non-specific serine/threonine protein kinase"
"1729","CSK23","Non-specific serine/threonine protein kinase"
"1730","CSKP","Non-specific serine/threonine protein kinase"
"1731","CTRO","Non-specific serine/threonine protein kinase"
"1732","DAPK1","Non-specific serine/threonine protein kinase"
"1733","DAPK2","Non-specific serine/threonine protein kinase"
"1734","DAPK3","Non-specific serine/threonine protein kinase"
"1735","DCAF1","Non-specific serine/threonine protein kinase"
"1736","DCLK1","Non-specific serine/threonine protein kinase"
"1737","DCLK2","Non-specific serine/threonine protein kinase"
"1738","DCLK3","Non-specific serine/threonine protein kinase"
"1739","DMPK","Non-specific serine/threonine protein kinase"
"1740","E2AK1","Non-specific serine/threonine protein kinase"
"1741","E2AK2","Non-specific serine/threonine protein kinase"
"1742","E2AK3","Non-specific serine/threonine protein kinase"
"1743","E2AK4","Non-specific serine/threonine protein kinase"
"1744","ERN1","Non-specific serine/threonine protein kinase"
"1745","ERN2","Non-specific serine/threonine protein kinase"
"1746","FA20C","Non-specific serine/threonine protein kinase"
"1747","GAK","Non-specific serine/threonine protein kinase"
"1748","GSK3A","Non-specific serine/threonine protein kinase"
"1749","GSK3B","Non-specific serine/threonine protein kinase"
"1750","GWL","Non-specific serine/threonine protein kinase"
"1751","HASP","Non-specific serine/threonine protein kinase"
"1752","HIPK1","Non-specific serine/threonine protein kinase"
"1753","HIPK2","Non-specific serine/threonine protein kinase"
"1754","HIPK3","Non-specific serine/threonine protein kinase"
"1755","HIPK4","Non-specific serine/threonine protein kinase"
"1756","HUNK","Non-specific serine/threonine protein kinase"
"1757","ICK","Non-specific serine/threonine protein kinase"
"1758","ILK","Non-specific serine/threonine protein kinase"
"1759","IRAK1","Non-specific serine/threonine protein kinase"
"1760","IRAK3","Non-specific serine/threonine protein kinase"
"1761","IRAK4","Non-specific serine/threonine protein kinase"
"1762","KALRN","Non-specific serine/threonine protein kinase"
"1763","KC1AL","Non-specific serine/threonine protein kinase"
"1764","KC1A","Non-specific serine/threonine protein kinase"
"1765","KC1D","Non-specific serine/threonine protein kinase"
"1766","KC1E","Non-specific serine/threonine protein kinase"
"1767","KC1G1","Non-specific serine/threonine protein kinase"
"1768","KC1G2","Non-specific serine/threonine protein kinase"
"1769","KC1G3","Non-specific serine/threonine protein kinase"
"1770","KPSH1","Non-specific serine/threonine protein kinase"
"1771","KPSH2","Non-specific serine/threonine protein kinase"
"1772","KS6A1","Non-specific serine/threonine protein kinase"
"1773","KS6A2","Non-specific serine/threonine protein kinase"
"1774","KS6A3","Non-specific serine/threonine protein kinase"
"1775","KS6A4","Non-specific serine/threonine protein kinase"
"1776","KS6A5","Non-specific serine/threonine protein kinase"
"1777","KS6A6","Non-specific serine/threonine protein kinase"
"1778","KS6B1","Non-specific serine/threonine protein kinase"
"1779","KS6B2","Non-specific serine/threonine protein kinase"
"1780","KS6C1","Non-specific serine/threonine protein kinase"
"1781","KSR2","Non-specific serine/threonine protein kinase"
"1782","LATS1","Non-specific serine/threonine protein kinase"
"1783","LATS2","Non-specific serine/threonine protein kinase"
"1784","LIMK1","Non-specific serine/threonine protein kinase"
"1785","LIMK2","Non-specific serine/threonine protein kinase"
"1786","LMTK1","Non-specific serine/threonine protein kinase"
"1787","LMTK2","Non-specific serine/threonine protein kinase"
"1788","LMTK3","Non-specific serine/threonine protein kinase"
"1789","LRRK1","Non-specific serine/threonine protein kinase"
"1790","LRRK2","Non-specific serine/threonine protein kinase"
"1791","M3K19","Non-specific serine/threonine protein kinase"
"1792","M4K1","Non-specific serine/threonine protein kinase"
"1793","M4K2","Non-specific serine/threonine protein kinase"
"1794","M4K3","Non-specific serine/threonine protein kinase"
"1795","M4K4","Non-specific serine/threonine protein kinase"
"1796","M4K5","Non-specific serine/threonine protein kinase"
"1797","MAK","Non-specific serine/threonine protein kinase"
"1798","MAPK2","Non-specific serine/threonine protein kinase"
"1799","MAPK3","Non-specific serine/threonine protein kinase"
"1800","MAPK5","Non-specific serine/threonine protein kinase"
"1801","MARK1","Non-specific serine/threonine protein kinase"
"1802","MARK2","Non-specific serine/threonine protein kinase"
"1803","MARK3","Non-specific serine/threonine protein kinase"
"1804","MARK4","Non-specific serine/threonine protein kinase"
"1805","MAST1","Non-specific serine/threonine protein kinase"
"1806","MAST2","Non-specific serine/threonine protein kinase"
"1807","MAST3","Non-specific serine/threonine protein kinase"
"1808","MAST4","Non-specific serine/threonine protein kinase"
"1809","MELK","Non-specific serine/threonine protein kinase"
"1810","MINK1","Non-specific serine/threonine protein kinase"
"1811","MKNK1","Non-specific serine/threonine protein kinase"
"1812","MKNK2","Non-specific serine/threonine protein kinase"
"1813","MOS","Non-specific serine/threonine protein kinase"
"1814","MRCKA","Non-specific serine/threonine protein kinase"
"1815","MRCKB","Non-specific serine/threonine protein kinase"
"1816","MRCKG","Non-specific serine/threonine protein kinase"
"1817","MTOR","Non-specific serine/threonine protein kinase"
"1818","MYLK4","Non-specific serine/threonine protein kinase"
"1819","MYO3A","Non-specific serine/threonine protein kinase"
"1820","MYO3B","Non-specific serine/threonine protein kinase"
"1821","NEK10","Non-specific serine/threonine protein kinase"
"1822","NEK11","Non-specific serine/threonine protein kinase"
"1823","NEK1","Non-specific serine/threonine protein kinase"
"1824","NEK2","Non-specific serine/threonine protein kinase"
"1825","NEK3","Non-specific serine/threonine protein kinase"
"1826","NEK4","Non-specific serine/threonine protein kinase"
"1827","NEK5","Non-specific serine/threonine protein kinase"
"1828","NEK6","Non-specific serine/threonine protein kinase"
"1829","NEK7","Non-specific serine/threonine protein kinase"
"1830","NEK8","Non-specific serine/threonine protein kinase"
"1831","NEK9","Non-specific serine/threonine protein kinase"
"1832","NIM1","Non-specific serine/threonine protein kinase"
"1833","NRK","Non-specific serine/threonine protein kinase"
"1834","NUAK1","Non-specific serine/threonine protein kinase"
"1835","NUAK2","Non-specific serine/threonine protein kinase"
"1836","OBSCN","Non-specific serine/threonine protein kinase"
"1837","OXSR1","Non-specific serine/threonine protein kinase"
"1838","PAK1","Non-specific serine/threonine protein kinase"
"1839","PAK2","Non-specific serine/threonine protein kinase"
"1840","PAK3","Non-specific serine/threonine protein kinase"
"1841","PAK4","Non-specific serine/threonine protein kinase"
"1842","PAK5","Non-specific serine/threonine protein kinase"
"1843","PAK6","Non-specific serine/threonine protein kinase"
"1844","PASK","Non-specific serine/threonine protein kinase"
"1845","PDK1L","Non-specific serine/threonine protein kinase"
"1846","PDPK1","Non-specific serine/threonine protein kinase"
"1847","PDPK2","Non-specific serine/threonine protein kinase"
"1848","PHKG1","Non-specific serine/threonine protein kinase"
"1849","PI3R4","Non-specific serine/threonine protein kinase"
"1850","PIM1","Non-specific serine/threonine protein kinase"
"1851","PIM2","Non-specific serine/threonine protein kinase"
"1852","PIM3","Non-specific serine/threonine protein kinase"
"1853","PINK1","Non-specific serine/threonine protein kinase"
"1854","PK3CA","Non-specific serine/threonine protein kinase"
"1855","PK3CG","Non-specific serine/threonine protein kinase"
"1856","PMYT1","Non-specific serine/threonine protein kinase"
"1857","PRKDC","Non-specific serine/threonine protein kinase"
"1858","PRKX","Non-specific serine/threonine protein kinase"
"1859","PRKY","Non-specific serine/threonine protein kinase"
"1860","PRP4B","Non-specific serine/threonine protein kinase"
"1861","PRPK","Non-specific serine/threonine protein kinase"
"1862","RAF1","Non-specific serine/threonine protein kinase"
"1863","RIOK1","Non-specific serine/threonine protein kinase"
"1864","RIOK2","Non-specific serine/threonine protein kinase"
"1865","RIOK3","Non-specific serine/threonine protein kinase"
"1866","RIPK1","Non-specific serine/threonine protein kinase"
"1867","RIPK2","Non-specific serine/threonine protein kinase"
"1868","RIPK3","Non-specific serine/threonine protein kinase"
"1869","RIPK4","Non-specific serine/threonine protein kinase"
"1870","ROCK1","Non-specific serine/threonine protein kinase"
"1871","ROCK2","Non-specific serine/threonine protein kinase"
"1872","RPKL1","Non-specific serine/threonine protein kinase"
"1873","SBK1","Non-specific serine/threonine protein kinase"
"1874","SBK2","Non-specific serine/threonine protein kinase"
"1875","SBK3","Non-specific serine/threonine protein kinase"
"1876","SG494","Non-specific serine/threonine protein kinase"
"1877","SGK1","Non-specific serine/threonine protein kinase"
"1878","SGK2","Non-specific serine/threonine protein kinase"
"1879","SGK3","Non-specific serine/threonine protein kinase"
"1880","SIK1B","Non-specific serine/threonine protein kinase"
"1881","SIK1","Non-specific serine/threonine protein kinase"
"1882","SIK2","Non-specific serine/threonine protein kinase"
"1883","SIK3","Non-specific serine/threonine protein kinase"
"1884","SLK","Non-specific serine/threonine protein kinase"
"1885","SMG1","Non-specific serine/threonine protein kinase"
"1886","SNRK","Non-specific serine/threonine protein kinase"
"1887","SPEG","Non-specific serine/threonine protein kinase"
"1888","SRPK1","Non-specific serine/threonine protein kinase"
"1889","SRPK2","Non-specific serine/threonine protein kinase"
"1890","SRPK3","Non-specific serine/threonine protein kinase"
"1891","ST17A","Non-specific serine/threonine protein kinase"
"1892","ST17B","Non-specific serine/threonine protein kinase"
"1893","ST32A","Non-specific serine/threonine protein kinase"
"1894","ST32B","Non-specific serine/threonine protein kinase"
"1895","ST32C","Non-specific serine/threonine protein kinase"
"1896","ST38L","Non-specific serine/threonine protein kinase"
"1897","STK10","Non-specific serine/threonine protein kinase"
"1898","STK11","Non-specific serine/threonine protein kinase"
"1899","STK16","Non-specific serine/threonine protein kinase"
"1900","STK19","Non-specific serine/threonine protein kinase"
"1901","STK24","Non-specific serine/threonine protein kinase"
"1902","STK25","Non-specific serine/threonine protein kinase"
"1903","STK26","Non-specific serine/threonine protein kinase"
"1904","STK31","Non-specific serine/threonine protein kinase"
"1905","STK33","Non-specific serine/threonine protein kinase"
"1906","STK35","Non-specific serine/threonine protein kinase"
"1907","STK36","Non-specific serine/threonine protein kinase"
"1908","STK38","Non-specific serine/threonine protein kinase"
"1909","STK39","Non-specific serine/threonine protein kinase"
"1910","STK3","Non-specific serine/threonine protein kinase"
"1911","STK40","Non-specific serine/threonine protein kinase"
"1912","STK4","Non-specific serine/threonine protein kinase"
"1913","TAF1","Non-specific serine/threonine protein kinase"
"1914","TAOK1","Non-specific serine/threonine protein kinase"
"1915","TAOK2","Non-specific serine/threonine protein kinase"
"1916","TAOK3","Non-specific serine/threonine protein kinase"
"1917","TBK1","Non-specific serine/threonine protein kinase"
"1918","TITIN","Non-specific serine/threonine protein kinase"
"1919","TLK1","Non-specific serine/threonine protein kinase"
"1920","TLK2","Non-specific serine/threonine protein kinase"
"1921","TNI3K","Non-specific serine/threonine protein kinase"
"1922","TNIK","Non-specific serine/threonine protein kinase"
"1923","TRIO","Non-specific serine/threonine protein kinase"
"1924","TRPM6","Non-specific serine/threonine protein kinase"
"1925","TRPM7","Non-specific serine/threonine protein kinase"
"1926","TSSK1","Non-specific serine/threonine protein kinase"
"1927","TSSK2","Non-specific serine/threonine protein kinase"
"1928","TSSK3","Non-specific serine/threonine protein kinase"
"1929","TSSK4","Non-specific serine/threonine protein kinase"
"1930","TSSK6","Non-specific serine/threonine protein kinase"
"1931","TTBK1","Non-specific serine/threonine protein kinase"
"1932","TTBK2","Non-specific serine/threonine protein kinase"
"1933","UHMK1","Non-specific serine/threonine protein kinase"
"1934","ULK1","Non-specific serine/threonine protein kinase"
"1935","ULK2","Non-specific serine/threonine protein kinase"
"1936","ULK3","Non-specific serine/threonine protein kinase"
"1937","ULK4","Non-specific serine/threonine protein kinase"
"1938","VRK1","Non-specific serine/threonine protein kinase"
"1939","VRK2","Non-specific serine/threonine protein kinase"
"1940","WNK1","Non-specific serine/threonine protein kinase"
"1941","WNK2","Non-specific serine/threonine protein kinase"
"1942","WNK3","Non-specific serine/threonine protein kinase"
"1943","WNK4","Non-specific serine/threonine protein kinase"
"1944","PDK1","[Pyruvate dehydrogenase (acetyl-transferring)] kinase"
"1945","PDK2","[Pyruvate dehydrogenase (acetyl-transferring)] kinase"
"1946","PDK3","[Pyruvate dehydrogenase (acetyl-transferring)] kinase"
"1947","PDK4","[Pyruvate dehydrogenase (acetyl-transferring)] kinase"
"1948","BCKD","[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase"
"1949","FASTK","Fas-activated serine/threonine kinase"
"1950","IKKA","I-kappa-B kinase"
"1951","IKKB","I-kappa-B kinase"
"1952","IKKE","I-kappa-B kinase"
"1953","KAPCA","cAMP-dependent protein kinase"
"1954","KAPCB","cAMP-dependent protein kinase"
"1955","KAPCG","cAMP-dependent protein kinase"
"1956","KGP1","cGMP-dependent protein kinase"
"1957","KGP2","cGMP-dependent protein kinase"
"1958","KPCA","Protein kinase C"
"1959","KPCB","Protein kinase C"
"1960","KPCD1","Protein kinase C"
"1961","KPCD2","Protein kinase C"
"1962","KPCD3","Protein kinase C"
"1963","KPCD","Protein kinase C"
"1964","KPCE","Protein kinase C"
"1965","KPCG","Protein kinase C"
"1966","KPCI","Protein kinase C"
"1967","KPCL","Protein kinase C"
"1968","KPCT","Protein kinase C"
"1969","KPCZ","Protein kinase C"
"1970","PKN1","Protein kinase C"
"1971","PKN2","Protein kinase C"
"1972","PKN3","Protein kinase C"
"1973","GRK7","Rhodopsin kinase"
"1974","RK","Rhodopsin kinase"
"1975","ARBK1","[Beta-adrenergic-receptor] kinase"
"1976","ARBK2","[Beta-adrenergic-receptor] kinase"
"1977","GRK4","[G-protein-coupled receptor] kinase"
"1978","GRK5","[G-protein-coupled receptor] kinase"
"1979","GRK6","[G-protein-coupled receptor] kinase"
"1980","KCC1A","Calcium/calmodulin-dependent protein kinase"
"1981","KCC1B","Calcium/calmodulin-dependent protein kinase"
"1982","KCC1D","Calcium/calmodulin-dependent protein kinase"
"1983","KCC1G","Calcium/calmodulin-dependent protein kinase"
"1984","KCC2A","Calcium/calmodulin-dependent protein kinase"
"1985","KCC2B","Calcium/calmodulin-dependent protein kinase"
"1986","KCC2D","Calcium/calmodulin-dependent protein kinase"
"1987","KCC2G","Calcium/calmodulin-dependent protein kinase"
"1988","KCC4","Calcium/calmodulin-dependent protein kinase"
"1989","KKCC1","Calcium/calmodulin-dependent protein kinase"
"1990","KKCC2","Calcium/calmodulin-dependent protein kinase"
"1991","MYLK2","[Myosin light-chain] kinase"
"1992","MYLK3","[Myosin light-chain] kinase"
"1993","MYLK","[Myosin light-chain] kinase"
"1994","PHKG1","Phosphorylase kinase"
"1995","PHKG2","Phosphorylase kinase"
"1996","EF2K","[Elongation factor 2] kinase"
"1997","PLK1","Polo kinase"
"1998","PLK2","Polo kinase"
"1999","PLK3","Polo kinase"
"2000","PLK4","Polo kinase"
"2001","CD11A","Cyclin-dependent kinase"
"2002","CD11B","Cyclin-dependent kinase"
"2003","CDK10","Cyclin-dependent kinase"
"2004","CDK12","Cyclin-dependent kinase"
"2005","CDK13","Cyclin-dependent kinase"
"2006","CDK14","Cyclin-dependent kinase"
"2007","CDK15","Cyclin-dependent kinase"
"2008","CDK16","Cyclin-dependent kinase"
"2009","CDK17","Cyclin-dependent kinase"
"2010","CDK18","Cyclin-dependent kinase"
"2011","CDK19","Cyclin-dependent kinase"
"2012","CDK1","Cyclin-dependent kinase"
"2013","CDK20","Cyclin-dependent kinase"
"2014","CDK2","Cyclin-dependent kinase"
"2015","CDK3","Cyclin-dependent kinase"
"2016","CDK4","Cyclin-dependent kinase"
"2017","CDK6","Cyclin-dependent kinase"
"2018","CDK7","Cyclin-dependent kinase"
"2019","CDK8","Cyclin-dependent kinase"
"2020","CDK9","Cyclin-dependent kinase"
"2021","CDKL1","Cyclin-dependent kinase"
"2022","CDKL2","Cyclin-dependent kinase"
"2023","CDKL3","Cyclin-dependent kinase"
"2024","CDKL4","Cyclin-dependent kinase"
"2025","CDKL5","Cyclin-dependent kinase"
"2026","MOK","Cyclin-dependent kinase"
"2027","CDK12","[RNA-polymerase]-subunit kinase"
"2028","CDK13","[RNA-polymerase]-subunit kinase"
"2029","CDK1","[RNA-polymerase]-subunit kinase"
"2030","CDK7","[RNA-polymerase]-subunit kinase"
"2031","CDK8","[RNA-polymerase]-subunit kinase"
"2032","CDK9","[RNA-polymerase]-subunit kinase"
"2033","MK01","Mitogen-activated protein kinase"
"2034","MK03","Mitogen-activated protein kinase"
"2035","MK04","Mitogen-activated protein kinase"
"2036","MK06","Mitogen-activated protein kinase"
"2037","MK07","Mitogen-activated protein kinase"
"2038","MK08","Mitogen-activated protein kinase"
"2039","MK09","Mitogen-activated protein kinase"
"2040","MK10","Mitogen-activated protein kinase"
"2041","MK11","Mitogen-activated protein kinase"
"2042","MK12","Mitogen-activated protein kinase"
